iter	Passed	Remaining
0	25	27954
1	56	30927
2	85	31401
3	113	31076
4	140	30765
5	167	30637
6	194	30455
7	222	30391
8	249	30279
9	276	30224
10	304	30218
11	331	30163
12	359	30106
13	385	30002
14	411	29878
15	427	29014
16	453	28990
17	475	28639
18	502	28697
19	531	28767
20	551	28420
21	566	27811
22	592	27821
23	625	28102
24	653	28157
25	680	28171
26	707	28214
27	736	28263
28	757	28042
29	783	28035
30	810	28036
31	838	28059
32	866	28102
33	894	28120
34	921	28129
35	949	28150
36	970	27963
37	999	28002
38	1026	28001
39	1054	28025
40	1077	27901
41	1092	27590
42	1119	27594
43	1133	27290
44	1160	27288
45	1188	27300
46	1215	27313
47	1229	27030
48	1244	26765
49	1258	26498
50	1285	26509
51	1299	26267
52	1329	26342
53	1358	26388
54	1380	26298
55	1406	26296
56	1433	26300
57	1461	26332
58	1488	26345
59	1516	26363
60	1531	26157
61	1558	26174
62	1586	26197
63	1615	26233
64	1643	26237
65	1670	26248
66	1685	26061
67	1713	26081
68	1740	26088
69	1768	26097
70	1795	26097
71	1809	25916
72	1837	25926
73	1865	25940
74	1892	25942
75	1920	25950
76	1948	25960
77	1977	25990
78	2005	25993
79	2033	25997
80	2060	25997
81	2090	26029
82	2117	26024
83	2155	26144
84	2192	26259
85	2226	26334
86	2262	26422
87	2292	26437
88	2320	26441
89	2352	26483
90	2389	26572
91	2424	26639
92	2456	26678
93	2488	26709
94	2520	26748
95	2558	26834
96	2589	26852
97	2619	26859
98	2650	26882
99	2680	26881
100	2710	26888
101	2739	26884
102	2770	26893
103	2800	26897
104	2831	26910
105	2859	26899
106	2891	26913
107	2920	26907
108	2950	26904
109	2981	26913
110	3008	26891
111	3035	26859
112	3072	26919
113	3104	26935
114	3134	26930
115	3163	26915
116	3191	26898
117	3219	26870
118	3246	26842
119	3273	26814
120	3300	26787
121	3328	26762
122	3354	26730
123	3382	26707
124	3410	26685
125	3438	26663
126	3467	26644
127	3495	26625
128	3522	26597
129	3549	26567
130	3576	26537
131	3603	26508
132	3631	26487
133	3659	26463
134	3685	26428
135	3713	26402
136	3741	26380
137	3768	26350
138	3796	26330
139	3825	26314
140	3853	26291
141	3880	26264
142	3907	26234
143	3934	26203
144	3961	26175
145	3990	26154
146	4017	26124
147	4045	26103
148	4072	26075
149	4101	26057
150	4128	26027
151	4157	26009
152	4184	25983
153	4212	25958
154	4239	25930
155	4266	25902
156	4294	25876
157	4322	25850
158	4349	25821
159	4376	25793
160	4403	25764
161	4431	25739
162	4460	25721
163	4489	25705
164	4519	25691
165	4546	25664
166	4577	25658
167	4606	25636
168	4636	25623
169	4664	25601
170	4692	25576
171	4720	25550
172	4748	25524
173	4775	25496
174	4802	25465
175	4828	25433
176	4856	25405
177	4883	25378
178	4911	25350
179	4939	25327
180	4966	25299
181	4993	25267
182	5022	25251
183	5050	25225
184	5077	25196
185	5106	25175
